enddate,pollster,grade,approve,week
2020-10-10,Morning Consult,B/C,41,2041
2020-10-08,Rasmussen Reports/Pulse Opinion Research,C+,46,2041
2020-10-09,Morning Consult,B/C,42,2041
2020-10-08,Morning Consult,B/C,43,2041
2020-10-09,ABC News/The Washington Post,A+,44,2041
2020-10-11,SurveyMonkey,D-,44,2041
2020-10-15,Gallup,B,43,2042
2020-10-11,Morning Consult,B/C,41,2041
2020-10-12,Morning Consult,B/C,41,2042
2020-10-11,Rasmussen Reports/Pulse Opinion Research,C+,49,2041
2020-10-12,University of Massachusetts Lowell,A/B,44,2042
2020-10-10,Morning Consult,B/C,43,2041
2020-10-13,Morning Consult,B/C,41,2042
2020-10-11,Morning Consult,B/C,43,2041
2020-10-12,Opinium,,42,2042
2020-10-12,Kaiser Family Foundation,,44,2042
2020-10-11,Morning Consult,B/C,41,2041
2020-10-12,Rasmussen Reports/Pulse Opinion Research,C+,48,2042
2020-10-12,AP-NORC,,39,2042
2020-10-11,Morning Consult,B/C,44,2041
2020-10-12,Global Strategy Group/GBAO (Navigator Research),,44,2042
2020-10-14,Morning Consult,B/C,41,2042
2020-10-13,Marist College,A+,41,2042
2020-10-12,Public Religion Research Institute,A/B,38,2042
2020-10-13,Ipsos,B-,42,2042
2020-10-12,NBC News/The Wall Street Journal,A-,44,2042
2020-10-13,HarrisX,C,46,2042
2020-10-13,Rasmussen Reports/Pulse Opinion Research,C+,47,2042
2020-10-13,YouGov,B,42,2042
2020-10-15,Morning Consult,B/C,41,2042
2020-10-16,Morning Consult,B/C,42,2042
2020-10-14,Rasmussen Reports/Pulse Opinion Research,C+,47,2042
2020-10-13,Climate Nexus,,45,2042
2020-10-15,Morning Consult,B/C,43,2042
2020-10-15,Ipsos,B-,39,2042
2020-10-15,Morning Consult,B/C,43,2042
2020-10-17,Morning Consult,B/C,42,2042
2020-10-15,Rasmussen Reports/Pulse Opinion Research,C+,48,2042
2020-10-16,Morning Consult,B/C,45,2042
2020-10-18,Morning Consult,B/C,42,2042
2020-10-18,SurveyMonkey,D-,44,2042
2020-10-31,SurveyMonkey,D-,45,2044
2020-10-19,Morning Consult,B/C,42,2043
2020-10-18,Rasmussen Reports/Pulse Opinion Research,C+,48,2042
2020-10-19,Global Strategy Group/GBAO (Navigator Research),,43,2043
2020-10-19,Rasmussen Reports/Pulse Opinion Research,C+,49,2043
2020-10-20,Morning Consult,B/C,42,2043
2020-10-18,Morning Consult,B/C,40,2042
2020-10-18,Siena College/The New York Times Upshot,A+,43,2042
2020-10-18,Research Co.,B-,43,2042
2020-10-18,Morning Consult,B/C,43,2042
2020-10-18,Change Research,C-,44,2042
2020-10-19,Quinnipiac University,B+,41,2043
2020-10-20,Echelon Insights,,44,2043
2020-10-21,Morning Consult,B/C,42,2043
2020-10-20,Ipsos,B-,41,2043
2020-10-22,Morning Consult,B/C,42,2043
2020-10-20,YouGov,B,45,2043
2020-10-20,American Research Group,B,35,2043
2020-10-20,Rasmussen Reports/Pulse Opinion Research,C+,49,2043
2020-10-23,Morning Consult,B/C,42,2043
2020-10-21,Rasmussen Reports/Pulse Opinion Research,C+,52,2043
2020-10-22,Ipsos,B-,42,2043
2020-10-26,YouGov,B,43,2044
2020-10-22,Rasmussen Reports/Pulse Opinion Research,C+,51,2043
2020-10-24,Morning Consult,B/C,42,2043
2020-10-22,Morning Consult,B/C,45,2043
2020-10-25,SurveyMonkey,D-,45,2043
2020-10-25,Morning Consult,B/C,41,2043
2020-10-23,Spry Strategies,B/C,48.91,2043
2020-10-23,Spry Strategies,B/C,50.55,2043
2020-10-27,Gallup,B,46,2044
2020-10-26,Hofstra University,,43.8,2044
2020-10-25,Rasmussen Reports/Pulse Opinion Research,C+,52,2043
2020-10-24,CNBC/Hart Research/Public Opinion Strategies,A-,42,2043
2020-10-26,Morning Consult,B/C,41,2044
2020-10-23,Morning Consult,B/C,40,2043
2020-10-25,Morning Consult,B/C,45,2043
2020-10-24,Change Research,C-,45,2043
2020-10-25,Morning Consult,B/C,41.666667,2043
2020-10-26,Rasmussen Reports/Pulse Opinion Research,C+,51,2044
2020-10-27,Morning Consult,B/C,42,2044
2020-10-26,CNN/SSRS,B/C,42,2044
2020-10-27,Ipsos,B-,40,2044
2020-10-27,Global Marketing Research Services,,45.7,2044
2020-10-26,Winston Group,B/C,46,2044
2020-10-27,Suffolk University,A,43.8,2044
2020-10-28,Morning Consult,B/C,42,2044
2020-10-29,Morning Consult,B/C,42,2044
2020-10-27,Rasmussen Reports/Pulse Opinion Research,C+,52,2044
2020-10-27,YouGov,B,42,2044
2020-10-26,Emerson College,A-,44.8,2044
2020-10-28,HarrisX,C,48,2044
2020-10-28,Rasmussen Reports/Pulse Opinion Research,C+,52,2044
2020-10-30,Morning Consult,B/C,42,2044
2020-10-28,AtlasIntel,B/C,46.1,2044
2020-10-29,Gravis Marketing,C,52,2044
2020-10-31,Morning Consult,B/C,42,2044
2020-10-29,Fox News,A-,46,2044
2020-10-29,Rasmussen Reports/Pulse Opinion Research,C+,51,2044
2020-10-29,Opinium,,39,2044
2020-10-28,Harris Poll,C,46,2044
2020-11-01,Morning Consult,B/C,42,2044
2020-11-01,SurveyMonkey,D-,45,2044
2020-10-31,NBC News/The Wall Street Journal,A-,45,2044
2020-11-01,Rasmussen Reports/Pulse Opinion Research,C+,52,2044
2020-10-31,Morning Consult,B/C,41,2044
2020-11-02,Morning Consult,B/C,42,2045
2020-11-03,Morning Consult,B/C,42,2045
2020-11-02,Rasmussen Reports/Pulse Opinion Research,C+,49,2045
2020-11-01,Change Research,C-,44,2044
2020-11-01,Morning Consult,B/C,42,2044
2020-11-04,Morning Consult,B/C,42,2045
2020-11-02,Ipsos,B-,41,2045
2020-11-02,HarrisX,C,50,2045
2020-11-02,Research Co.,B-,46,2045
2020-11-03,Global Strategy Group/GBAO (Navigator Research),,46,2045
2020-11-01,John Zogby Strategies/EMI Research Solutions,,49.6,2044
2020-11-02,YouGov,B,45,2045
2020-11-03,Rasmussen Reports/Pulse Opinion Research,C+,49,2045
2020-11-05,Morning Consult,B/C,42,2045
2020-11-04,HarrisX,C,48,2045
2020-11-04,Rasmussen Reports/Pulse Opinion Research,C+,48,2045
2020-11-06,Morning Consult,B/C,42,2045
2020-11-03,McLaughlin & Associates,C/D,53,2045
2020-11-07,Morning Consult,B/C,42,2045
2020-11-05,Rasmussen Reports/Pulse Opinion Research,C+,50,2045
2020-11-08,Morning Consult,B/C,42,2045
2020-11-05,Ipsos,B-,43,2045
2020-11-06,Data for Progress,B-,45,2045
2020-11-08,Rasmussen Reports/Pulse Opinion Research,C+,52,2045
2020-11-09,Morning Consult,B/C,42,2046
2020-11-10,Morning Consult,B/C,42,2046
2020-11-09,Rasmussen Reports/Pulse Opinion Research,C+,52,2046
2020-11-09,Morning Consult,B/C,41,2046
2020-11-11,Morning Consult,B/C,42,2046
2020-11-10,Ipsos,B-,39,2046
2020-11-10,YouGov,B,46,2046
2020-11-12,Morning Consult,B/C,42,2046
2020-11-10,Rasmussen Reports/Pulse Opinion Research,C+,53,2046
2020-11-13,Morning Consult,B/C,42,2046
2020-11-11,Rasmussen Reports/Pulse Opinion Research,C+,52,2046
2020-11-12,Rasmussen Reports/Pulse Opinion Research,C+,52,2046
2020-11-12,Morning Consult,B/C,42,2046
2020-11-14,Morning Consult,B/C,41,2046
2020-11-12,Global Strategy Group/GBAO (Navigator Research),,46,2046
2020-11-13,Morning Consult,B/C,42,2046
2020-11-19,Gallup,B,43,2047
2020-11-15,Morning Consult,B/C,41,2046
2020-11-14,Morning Consult,B/C,40,2046
2020-11-14,RMG Research,B/C,45,2046
2020-11-15,Rasmussen Reports/Pulse Opinion Research,C+,52,2046
2020-11-16,Morning Consult,B/C,41,2047
2020-11-16,Rasmussen Reports/Pulse Opinion Research,C+,52,2047
2020-11-16,Monmouth University,A+,46,2047
2020-11-17,Morning Consult,B/C,41,2047
2020-11-16,Morning Consult,B/C,42,2047
2020-11-17,Ipsos,B-,37,2047
2020-11-18,Morning Consult,B/C,41,2047
2020-11-17,Rasmussen Reports/Pulse Opinion Research,C+,51,2047
2020-11-19,Morning Consult,B/C,41,2047
2020-11-17,YouGov,B,43,2047
2020-11-18,Rasmussen Reports/Pulse Opinion Research,C+,49,2047
2020-11-20,Morning Consult,B/C,41,2047
2020-11-19,Rasmussen Reports/Pulse Opinion Research,C+,47,2047
2020-11-19,Harris Poll,C,51,2047
2020-11-21,Morning Consult,B/C,41,2047
2020-11-20,American Research Group,B,41,2047
2020-11-22,Morning Consult,B/C,41,2047
2020-11-21,RMG Research,B/C,46,2047
2020-11-23,Morning Consult,B/C,40,2048
2020-11-22,Morning Consult,B/C,42,2047
2020-11-22,Rasmussen Reports/Pulse Opinion Research,C+,48,2047
2020-11-23,Rasmussen Reports/Pulse Opinion Research,C+,48,2048
2020-11-23,Morning Consult,B/C,40,2048
2020-11-24,Morning Consult,B/C,41,2048
2020-11-23,Morning Consult,B/C,42,2048
2020-11-23,Morning Consult,B/C,43,2048
2020-11-25,Morning Consult,B/C,41,2048
2020-11-23,McLaughlin & Associates,C/D,48,2048
2020-11-24,YouGov,B,43,2048
2020-11-26,Morning Consult,B/C,41,2048
2020-11-24,Rasmussen Reports/Pulse Opinion Research,C+,49,2048
2020-11-27,Morning Consult,B/C,41,2048
2020-11-28,Morning Consult,B/C,41,2048
2020-11-29,Morning Consult,B/C,41,2048
2020-11-29,Rasmussen Reports/Pulse Opinion Research,C+,49,2048
2020-11-30,Rasmussen Reports/Pulse Opinion Research,C+,49,2049
2020-11-30,Morning Consult,B/C,41,2049
2020-11-29,Morning Consult,B/C,41,2048
2020-12-01,Morning Consult,B/C,41,2049
2020-11-30,HarrisX,C,50,2049
2020-12-02,Morning Consult,B/C,41,2049
2020-12-01,Rasmussen Reports/Pulse Opinion Research,C+,50,2049
2020-12-03,Morning Consult,B/C,41,2049
2020-12-04,Morning Consult,B/C,40,2049
2020-12-01,Ipsos,B-,38,2049
2020-12-02,Rasmussen Reports/Pulse Opinion Research,C+,50,2049
2020-12-05,Morning Consult,B/C,41,2049
2020-12-03,Rasmussen Reports/Pulse Opinion Research,C+,49,2049
2020-12-06,Morning Consult,B/C,40,2049
2020-12-04,Morning Consult,B/C,39,2049
2020-12-06,Marist College,A+,43,2049
2020-12-07,Quinnipiac University,B+,44,2050
2020-12-07,Morning Consult,B/C,40,2050
2020-12-05,Research Co.,B-,42,2049
2020-12-06,Rasmussen Reports/Pulse Opinion Research,C+,48,2049
2020-12-06,Morning Consult,B/C,40,2049
2020-12-07,AP-NORC,,40,2050
2020-12-07,Rasmussen Reports/Pulse Opinion Research,C+,49,2050
2020-12-06,Morning Consult,B/C,40,2049
2020-12-07,HarrisX,C,49,2050
2020-12-08,Ipsos,B-,41,2050
2020-12-08,Morning Consult,B/C,40,2050
2020-12-06,Morning Consult,B/C,40,2049
2020-12-07,Morning Consult,B/C,41,2050
2020-12-09,Morning Consult,B/C,40,2050
2020-12-08,Rasmussen Reports/Pulse Opinion Research,C+,50,2050
2020-12-08,YouGov,B,40,2050
2020-12-10,Morning Consult,B/C,40,2050
2020-12-07,Data for Progress,B-,46,2050
2020-12-07,Emerson College,A-,46.4,2050
2020-12-11,Morning Consult,B/C,40,2050
2020-12-09,Rasmussen Reports/Pulse Opinion Research,C+,49,2050
2020-12-09,Fox News,A-,47,2050
2020-12-17,Gallup,B,39,2051
2020-12-09,Zogby Analytics,C+,51,2050
2020-12-10,Rasmussen Reports/Pulse Opinion Research,C+,49,2050
2020-12-12,Morning Consult,B/C,40,2050
2020-12-10,Morning Consult,B/C,40,2050
2020-12-13,Morning Consult,B/C,41,2050
2020-12-13,Rasmussen Reports/Pulse Opinion Research,C+,46,2050
2020-12-14,Morning Consult,B/C,41,2051
2020-12-13,McLaughlin & Associates,C/D,48,2050
2020-12-15,Morning Consult,B/C,41,2051
2020-12-14,Rasmussen Reports/Pulse Opinion Research,C+,47,2051
2020-12-14,Global Strategy Group/GBAO (Navigator Research),,43,2051
2020-12-13,Morning Consult,B/C,41,2050
2020-12-15,Morning Consult,B/C,40,2051
2020-12-14,Ipsos,B-,41,2051
2020-12-16,Morning Consult,B/C,41,2051
2020-12-14,Morning Consult,B/C,41,2051
2020-12-17,Morning Consult,B/C,41,2051
2020-12-15,Rasmussen Reports/Pulse Opinion Research,C+,48,2051
2020-12-15,YouGov,B,42,2051
2020-12-18,Morning Consult,B/C,41,2051
2020-12-16,Rasmussen Reports/Pulse Opinion Research,C+,51,2051
2020-12-17,Rasmussen Reports/Pulse Opinion Research,C+,48,2051
2020-12-19,Morning Consult,B/C,40,2051
2020-12-20,Morning Consult,B/C,40,2051
2020-12-20,Suffolk University,A,44.7,2051
2020-12-21,Morning Consult,B/C,40,2052
2020-12-19,Morning Consult,B/C,40,2051
2020-12-20,Rasmussen Reports/Pulse Opinion Research,C+,46,2051
2020-12-19,Morning Consult,B/C,39,2051
2020-12-21,Rasmussen Reports/Pulse Opinion Research,C+,45,2052
2020-12-20,Morning Consult,B/C,41,2051
2020-12-22,Public Opinion Strategies,B+,47,2052
2020-12-22,Morning Consult,B/C,40,2052
2020-12-20,American Research Group,B,41,2051
2020-12-20,Morning Consult,B/C,41,2051
2020-12-23,Morning Consult,B/C,40,2052
2020-12-22,Ipsos,B-,40,2052
2020-12-22,YouGov,B,41,2052
2020-12-24,Morning Consult,B/C,40,2052
2020-12-22,Rasmussen Reports/Pulse Opinion Research,C+,45,2052
2020-12-25,Morning Consult,B/C,40,2052
2020-12-26,Morning Consult,B/C,40,2052
2020-12-23,Morning Consult,B/C,40,2052
2020-12-27,Morning Consult,B/C,40,2052
2020-12-28,Morning Consult,B/C,40,2053
2020-12-26,Morning Consult,B/C,40,2052
2020-12-28,Rasmussen Reports/Pulse Opinion Research,C+,46,2053
2020-12-29,Rasmussen Reports/Pulse Opinion Research,C+,47,2053
2020-12-29,Morning Consult,B/C,40,2053
2020-12-30,Morning Consult,B/C,40,2053
2020-12-31,Morning Consult,B/C,41,2053
2021-01-01,Morning Consult,B/C,41,2153
2020-12-30,Rasmussen Reports/Pulse Opinion Research,C+,45,2053
2021-01-02,Morning Consult,B/C,41,2153
2020-12-30,Morning Consult,B/C,43,2053
2021-01-03,Morning Consult,B/C,41,2153
2021-01-02,Morning Consult,B/C,41,2153
2021-01-04,Rasmussen Reports/Pulse Opinion Research,C+,47,2101
2021-01-04,Morning Consult,B/C,41,2101
2021-01-03,HarrisX,C,50,2153
2021-01-05,Rasmussen Reports/Pulse Opinion Research,C+,47,2101
2021-01-05,Morning Consult,B/C,41,2101
2021-01-06,Morning Consult,B/C,41,2101
2021-01-05,YouGov,B,42,2101
2021-01-07,Morning Consult,B/C,41,2101
2021-01-05,Ipsos,B-,38,2101
2021-01-05,Morning Consult,B/C,39,2101
2021-01-06,Rasmussen Reports/Pulse Opinion Research,C+,49,2101
2021-01-08,Morning Consult,B/C,40,2101
2021-01-07,Rasmussen Reports/Pulse Opinion Research,C+,48,2101
2021-01-09,Morning Consult,B/C,39,2101
2021-01-10,Morning Consult,B/C,38,2101
2021-01-08,IBD/TIPP,A/B,42,2101
2021-01-07,Morning Consult,B/C,38,2101
2021-01-08,Morning Consult,B/C,38,2101
2021-01-07,Marist College,A+,38,2101
2021-01-10,Rasmussen Reports/Pulse Opinion Research,C+,48,2101
2021-01-11,Morning Consult,B/C,37,2102
2021-01-10,Morning Consult,B/C,36,2101
2021-01-11,Rasmussen Reports/Pulse Opinion Research,C+,49,2102
2021-01-12,Morning Consult,B/C,36,2102
2021-01-10,Quinnipiac University,B+,33,2101
2021-01-11,Morning Consult,B/C,35,2102
2021-01-11,Global Strategy Group/GBAO (Navigator Research),,36,2102
2021-01-11,HarrisX,C,44,2102
2021-01-12,Ipsos,B-,34,2102
2021-01-11,Morning Consult,B/C,34,2102
2021-01-10,Data for Progress,B-,42,2101
2021-01-12,Pew Research Center,B/C,29,2102
2021-01-15,Gallup,B,34,2102
2021-01-12,Rasmussen Reports/Pulse Opinion Research,C+,46,2102
2021-01-12,YouGov,B,39,2102
2021-01-13,NBC News/The Wall Street Journal,A-,43,2102
2021-01-13,Marist College,A+,38,2102
2021-01-14,CNN/SSRS,B/C,34,2102
2021-01-13,ABC News/The Washington Post,A+,38,2102
2021-01-14,Morning Consult,B/C,34,2102
2021-01-14,Harris Poll,C,47,2102
2021-01-14,Rasmussen Reports/Pulse Opinion Research,C+,48,2102
2021-01-15,YouGov,B,41,2102
2021-01-15,Suffolk University,A,40.9,2102
2021-01-17,Rasmussen Reports/Pulse Opinion Research,C+,48,2102
2021-01-17,Quinnipiac University,B+,34,2102
2021-01-18,Rasmussen Reports/Pulse Opinion Research,C+,51,2103
2021-01-17,Morning Consult,B/C,39,2102
2021-01-19,AtlasIntel,B/C,44.6,2103
2021-01-19,American Research Group,B,30,2103
2021-01-19,YouGov,B,42,2103
2017-01-22,Gallup,B,45,1703
2017-01-24,Ipsos,B-,42.1,1704
2017-01-23,Gallup,B,45,1704
2017-01-24,Gallup,B,46,1704
2017-01-25,Ipsos,B-,42.3,1704
2017-01-26,Ipsos,B-,42.6,1704
2017-01-25,YouGov,B,41,1704
2017-01-25,Gallup,B,46,1704
2017-01-26,Gallup,B,45,1704
2017-01-27,Ipsos,B-,44.5,1704
2017-01-28,Ipsos,B-,45.4,1704
2017-01-27,Gallup,B,42,1704
2017-01-28,Gallup,B,42,1704
2017-01-29,Ipsos,B-,48.2,1704
2017-01-30,Ipsos,B-,46.8,1705
2017-01-29,Gallup,B,43,1704
2017-01-30,SurveyMonkey,D-,48,1705
2017-01-31,Ipsos,B-,45.3,1705
2017-01-30,Gallup,B,43,1705
2017-02-02,IBD/TIPP,A/B,42,1705
2017-01-31,Gallup,B,43,1705
2017-01-31,YouGov,B,43,1705
2017-02-01,Ipsos,B-,45,1705
2017-02-01,Gallup,B,43,1705
2017-02-02,Ipsos,B-,45.3,1705
2017-02-02,CNN/Opinion Research Corp.,B+,44,1705
2017-02-03,Ipsos,B-,44.9,1705
2017-02-02,Gallup,B,43,1705
2017-02-05,SurveyMonkey,D-,46,1705
2017-02-02,CBS News,A,40,1705
2017-02-03,Gallup,B,44,1705
2017-02-04,Ipsos,B-,45.2,1705
2017-02-04,YouGov,B,43,1705
2017-02-05,Ipsos,B-,47.5,1705
2017-02-04,Gallup,B,42,1705
2017-02-04,Morning Consult,B/C,48,1705
2017-02-05,Gallup,B,42,1705
2017-02-05,YouGov,B,43,1705
2017-02-06,Ipsos,B-,47.1,1706
2017-02-06,Gallup,B,42,1706
2017-02-06,YouGov,B,41,1706
2017-02-07,Ipsos,B-,47.5,1706
2017-02-07,YouGov,B,40,1706
2017-02-08,Ipsos,B-,47.5,1706
2017-02-07,YouGov,B,41,1706
2017-02-07,Gallup,B,43,1706
2017-02-09,Ipsos,B-,47.8,1706
2017-02-08,Gallup,B,43,1706
2017-02-08,YouGov,B,39,1706
2017-02-09,Gallup,B,42,1706
2017-02-09,YouGov,B,41,1706
2017-02-10,Ipsos,B-,46.7,1706
2017-02-11,Ipsos,B-,46.7,1706
2017-02-10,Gallup,B,41,1706
2017-02-12,SurveyMonkey,D-,46,1706
2017-02-12,Ipsos,B-,46.3,1706
2017-02-12,Pew Research Center,B/C,39,1706
2017-02-11,Gallup,B,40,1706
2017-02-13,Ipsos,B-,46.3,1707
2017-02-12,YouGov,B,40,1706
2017-02-12,Gallup,B,40,1706
2017-02-13,YouGov,B,42,1707
2017-02-13,Gallup,B,40,1707
2017-02-14,Ipsos,B-,45.3,1707
2017-02-14,YouGov,B,43,1707
2017-02-14,Gallup,B,40,1707
2017-02-14,YouGov,B,38,1707
2017-02-15,Ipsos,B-,45.8,1707
2017-02-16,Ipsos,B-,45.9,1707
2017-02-15,YouGov,B,41,1707
2017-02-15,Gallup,B,40,1707
2017-02-17,Ipsos,B-,45.1,1707
2017-02-17,SurveyMonkey,D-,45,1707
2017-02-16,Gallup,B,38,1707
2017-02-16,YouGov,B,37,1707
2017-02-17,YouGov,B,43,1707
2017-02-19,SurveyMonkey,D-,43,1707
2017-02-18,Ipsos,B-,44.3,1707
2017-02-19,Kaiser Family Foundation,,41,1707
2017-02-17,Gallup,B,40,1707
2017-02-18,YouGov,B,41,1707
2017-02-19,Ipsos,B-,45.3,1707
2017-02-19,Marist College,A+,39,1707
2017-02-18,Gallup,B,41,1707
2017-02-19,Gallup,B,42,1707
2017-02-18,YouGov,B,41,1707
2017-02-20,Ipsos,B-,45.5,1708
2017-02-19,YouGov,B,38,1707
2017-02-20,YouGov,B,40,1708
2017-02-21,CBS News,A,39,1708
2017-02-20,Gallup,B,41,1708
2017-02-20,American Research Group,B,43,1708
2017-02-21,Ipsos,B-,45.1,1708
2017-02-21,Gallup,B,42,1708
2017-02-22,YouGov,B,43,1708
2017-02-22,NBC News/The Wall Street Journal,A-,44,1708
2017-02-22,Ipsos,B-,46,1708
2017-02-23,SurveyMonkey,D-,44,1708
2017-02-22,YouGov,B,42,1708
2017-02-22,Gallup,B,43,1708
2017-02-23,Ipsos,B-,45.8,1708
2017-02-23,Gallup,B,43,1708
2017-02-24,Ipsos,B-,45.1,1708
2017-02-25,Ipsos,B-,45.1,1708
2017-02-24,Gallup,B,41,1708
2017-02-24,YouGov,B,40,1708
2017-02-25,Gallup,B,41,1708
2017-02-26,Ipsos,B-,45.6,1708
2017-02-25,YouGov,B,40,1708
2017-02-26,YouGov,B,42,1708
2017-02-27,Ipsos,B-,46.1,1709
2017-02-26,Gallup,B,42,1708
2017-02-27,Gallup,B,42,1709
2017-02-28,Ipsos,B-,46.1,1709
2017-02-27,YouGov,B,41,1709
2017-03-01,Ipsos,B-,45.7,1709
2017-03-02,SurveyMonkey,D-,45,1709
2017-02-28,YouGov,B,42,1709
2017-03-01,YouGov,B,41,1709
2017-02-28,Gallup,B,43,1709
2017-03-01,Gallup,B,43,1709
2017-03-04,IBD/TIPP,A/B,41,1709
2017-03-02,Ipsos,B-,45.8,1709
2017-03-01,YouGov,B,43,1709
2017-03-02,Gallup,B,43,1709
2017-03-03,Ipsos,B-,45.6,1709
2017-03-02,YouGov,B,46,1709
2017-03-03,YouGov,B,44,1709
2017-03-04,Ipsos,B-,45.4,1709
2017-03-03,Gallup,B,43,1709
2017-03-04,YouGov,B,41,1709
2017-03-04,CNN/Opinion Research Corp.,B+,45,1709
2017-03-05,Ipsos,B-,46.8,1709
2017-03-05,SurveyMonkey,D-,48,1709
2017-03-04,Gallup,B,43,1709
2017-03-06,Ipsos,B-,47.6,1710
2017-03-05,Gallup,B,44,1709
2017-03-05,Monmouth University,A+,43,1709
2017-03-05,YouGov,B,42,1709
2017-03-06,YouGov,B,40,1710
2017-03-06,Gallup,B,43,1710
2017-03-07,Ipsos,B-,47.6,1710
2017-03-06,Ipsos,B-,40,1710
2017-03-08,Ipsos,B-,48.3,1710
2017-03-09,SurveyMonkey,D-,47,1710
2017-03-07,Gallup,B,42,1710
2017-03-07,YouGov,B,40,1710
2017-03-12,Pew Research Center,B/C,43,1710
2017-03-08,YouGov,B,42,1710
2017-03-07,YouGov,B,42,1710
2017-03-11,Saint Leo University,C/D,44,1710
2017-03-09,Ipsos,B-,49,1710
2017-03-08,Gallup,B,41,1710
2017-03-09,YouGov,B,39,1710
2017-03-10,Ipsos,B-,48.7,1710
2017-03-09,Gallup,B,42,1710
2017-03-10,YouGov,B,40,1710
2017-03-11,Ipsos,B-,47.9,1710
2017-03-10,Gallup,B,44,1710
2017-03-12,Kaiser Family Foundation,,36,1710
2017-03-11,Gallup,B,45,1710
2017-03-11,YouGov,B,42,1710
2017-03-12,Ipsos,B-,47.1,1710
2017-03-12,YouGov,B,39,1710
2017-03-12,Gallup,B,42,1710
2017-03-13,Ipsos,B-,46.9,1711
2017-03-13,Gallup,B,39,1711
2017-03-14,Ipsos,B-,45.3,1711
2017-03-13,YouGov,B,43,1711
2017-03-15,Ipsos,B-,44.5,1711
2017-03-16,SurveyMonkey,D-,46,1711
2017-03-14,Gallup,B,40,1711
2017-03-14,YouGov,B,41,1711
2017-03-15,Gallup,B,42,1711
2017-03-16,Ipsos,B-,44.2,1711
2017-03-15,YouGov,B,39,1711
2017-03-16,YouGov,B,40,1711
2017-03-17,Ipsos,B-,44.4,1711
2017-03-16,icitizen,,42,1711
2017-03-16,Gallup,B,41,1711
2017-03-17,Gallup,B,40,1711
2017-03-18,Ipsos,B-,42.4,1711
2017-03-17,YouGov,B,43,1711
2017-03-18,YouGov,B,42,1711
2017-03-19,Ipsos,B-,44.8,1711
2017-03-18,Gallup,B,37,1711
2017-03-19,YouGov,B,42,1711
2017-03-19,Gallup,B,39,1711
2017-03-20,Ipsos,B-,45.7,1712
2017-03-20,Gallup,B,39,1712
2017-03-21,Ipsos,B-,46.3,1712
2017-03-20,American Research Group,B,41,1712
2017-03-20,YouGov,B,43,1712
2017-03-22,Ipsos,B-,45.9,1712
2017-03-21,YouGov,B,41,1712
2017-03-23,SurveyMonkey,D-,42,1712
2017-03-21,Gallup,B,40,1712
2017-03-21,YouGov,B,40,1712
2017-03-22,Gallup,B,39,1712
2017-03-22,YouGov,B,40,1712
2017-03-23,Ipsos,B-,48,1712
2017-03-23,YouGov,B,40,1712
2017-03-23,Gallup,B,41,1712
2017-03-24,Ipsos,B-,46.2,1712
2017-03-23,icitizen,,37,1712
2017-03-24,YouGov,B,40,1712
2017-03-25,Ipsos,B-,46,1712
2017-03-24,Gallup,B,41,1712
2017-03-25,Gallup,B,40,1712
2017-03-25,YouGov,B,39,1712
2017-03-26,Ipsos,B-,44.2,1712
2017-03-27,AP-NORC,,42,1713
2017-03-27,Ipsos,B-,44.5,1713
2017-03-27,Marist College,A+,37,1713
2017-03-26,Gallup,B,36,1712
2017-03-26,YouGov,B,39,1712
2017-03-27,YouGov,B,41,1713
2017-03-28,Ipsos,B-,43.4,1713
2017-03-27,Gallup,B,36,1713
2017-03-30,SurveyMonkey,D-,44,1713
2017-03-28,YouGov,B,37,1713
2017-03-30,IBD/TIPP,A/B,34,1713
2017-03-28,Gallup,B,35,1713
2017-03-29,Ipsos,B-,45,1713
2017-03-28,YouGov,B,41,1713
2017-03-28,CBS News,A,40,1713
2017-03-29,Zogby Analytics,C+,40,1713
2017-03-29,icitizen,,33,1713
2017-03-29,YouGov,B,37,1713
2017-03-30,Ipsos,B-,45.5,1713
2017-03-29,Gallup,B,38,1713
2017-03-30,Gallup,B,38,1713
2017-03-31,Ipsos,B-,47.2,1713
2017-03-30,YouGov,B,39,1713
2017-03-31,YouGov,B,39,1713
2017-03-31,Gallup,B,40,1713
2017-04-01,Ipsos,B-,47.3,1713
2017-04-01,Gallup,B,38,1713
2017-04-03,Kaiser Family Foundation,,41,1714
2017-04-02,Ipsos,B-,47.4,1713
2017-04-01,YouGov,B,38,1713
2017-04-02,Gallup,B,38,1713
2017-04-03,Ipsos,B-,46.2,1714
2017-04-02,YouGov,B,37,1713
2017-04-03,YouGov,B,38,1714
2017-04-04,Ipsos,B-,45.5,1714
2017-04-03,Gallup,B,39,1714
2017-04-04,YouGov,B,39,1714
2017-04-04,YouGov,B,40,1714
2017-04-05,Ipsos,B-,45,1714
2017-04-04,Gallup,B,42,1714
2017-04-06,SurveyMonkey,D-,42,1714
2017-04-05,YouGov,B,42,1714
2017-04-05,Gallup,B,41,1714
2017-04-05,icitizen,,35,1714
2017-04-06,Ipsos,B-,44.3,1714
2017-04-07,Ipsos,B-,44.2,1714
2017-04-06,Gallup,B,40,1714
2017-04-06,YouGov,B,39,1714
2017-04-06,CNBC/Hart Research/Public Opinion Strategies,A-,39,1714
2017-04-07,Gallup,B,40,1714
2017-04-07,YouGov,B,38,1714
2017-04-08,Ipsos,B-,45.4,1714
